"id","category_zh","name_zh","intensity_zh","met","kcal_30min_70kg","source_code","source_activity_en"
"hiit_moderate","健身/力量","HIIT（中等）","高",7.0,245,"02210","High intensity interval exercise, moderate effort"
"hiit_vigorous","健身/力量","HIIT/Tabata（高强度）","很高",11.0,385,"02214","High intensity interval exercise, burpees, mountain climbers, squat jumps, Tabata, vigorous effort"
"stretching","身心/柔韧","拉伸","轻",2.3,81,"02101","Stretching, mild"
"pilates_mat","身心/柔韧","普拉提（垫上）","轻",1.8,63,"02103","Pilates, traditional, mat"
"pilates_general","身心/柔韧","普拉提","轻",2.8,98,"02105","Pilates, general"
"fitball","身心/柔韧","健身球训练","轻",2.8,98,"02112","Therapeutic exercise ball, Fitball exercise"
"hatha_yoga","身心/柔韧","哈他瑜伽","轻",2.3,81,"02150","Yoga, Hatha"
"vinyasa_yoga","身心/柔韧","流瑜伽","轻中",2.7,95,"02185","Yoga, Vinyasa"
"power_yoga","身心/柔韧","力量瑜伽","中",4.0,140,"02160","Yoga, Power"
"tai_chi_qigong","身心/柔韧","太极/气功","轻中",3.3,116,"15670","Tai chi, qi gong, general"
"tai_chi_yang","身心/柔韧","杨式太极拳","中高",6.0,210,"15674","Tai chi chuan, Yang style"
"zumba","舞蹈","尊巴","高",6.5,228,"02310","Zumba, group class"
"ballroom_slow","舞蹈","交谊舞（慢）","轻中",3.0,105,"03040","Ballroom, slow, examples: waltz, foxtrot, slow dancing, samba tango, rumba, mambo, cha cha"
"ballroom_fast","舞蹈","交谊舞（快）","中高",5.5,193,"03030","Ballroom dancing, fast"
"salsa_partner","舞蹈","萨尔萨舞","中",4.8,168,"03090","Salsa Dancing, with partner"
"square_dance","舞蹈","广场舞/民族舞","中高",5.5,193,"03028","Chinese square dance, Ballet & Tibetan dance"
"aerobic_square_dance","舞蹈","有氧广场舞","高",7.3,256,"03029","Chinese square dance, aerobic dance"
"ballet_jazz_class","舞蹈","芭蕾/现代/爵士舞课","中高",5.0,175,"03010","Ballet, modern, or jazz general, rehearsal or class"
"nightclub_folk_vigorous","舞蹈","夜店/民俗舞（高强度）","很高",9.8,343,"03031","Nightclub or folk dancing, vigorous effort"
"badminton_social","球类/对抗","羽毛球（休闲）","中高",5.5,193,"15030","Badminton, social singles and doubles, general"
"badminton_match","球类/对抗","羽毛球（比赛）","很高",9.0,315,"15025","Badminton, competitive, match play"
"basketball_game","球类/对抗","篮球比赛","高",8.0,280,"15040","Basketball, game"
"basketball_shooting","球类/对抗","篮球投篮练习","中高",5.0,175,"15070","Basketball, shooting baskets"
"soccer_casual","球类/对抗","足球（休闲）","高",7.0,245,"15610","Soccer, casual, general"
"soccer_competitive","球类/对抗","足球（比赛）","很高",9.5,333,"15605","Soccer, competitive"
"futsal","球类/对抗","五人制足球","高",7.8,273,"15195","Futsal"
"table_tennis","球类/对抗","乒乓球","中",4.0,140,"15660","Table tennis, ping pong"
"tennis_doubles","球类/对抗","网球双打","中",4.5,158,"15685","Tennis, doubles"
"tennis_singles","球类/对抗","网球单打","高",8.0,280,"15690","Tennis, singles"
"volleyball_recreational","球类/对抗","排球（非竞技）","轻中",3.0,105,"15720","Volleyball, non-competitive, 6 - 9 member team, general"
"volleyball_competitive","球类/对抗","排球（室内竞技）","中高",6.0,210,"15711","Volleyball, competitive, in gymnasium"
"beach_volleyball","球类/对抗","沙滩排球","高",8.0,280,"15725","Volleyball, beach, in sand"
"softball_baseball","球类/对抗","棒球/垒球","中高",5.0,175,"15620","Softball or baseball, fast or slow pitch, general, moderate effort"
"squash","球类/对抗","壁球","极高",12.0,420,"15650","Squash"
"racquetball","球类/对抗","短柄墙球","高",7.0,245,"15530","Racquetball, general"
"golf_general","球类/对抗","高尔夫","中",4.5,158,"15255","Golf, general"
"golf_carry_clubs","球类/对抗","高尔夫（步行背球杆）","中",4.3,151,"15265","Golf, walking, carrying clubs"
"bowling","球类/对抗","保龄球","轻中",3.0,105,"15090","Bowling"
"billiards","球类/对抗","台球","轻",2.5,88,"15080","Billiards"
"boxing_bag","球类/对抗","拳击沙袋","中高",5.8,203,"15110","Boxing, punching bag"
"boxing_sparring","球类/对抗","拳击陪练/对练","高",7.8,273,"15120","Boxing, sparring"
"boxing_ring","球类/对抗","拳击擂台","极高",12.3,431,"15100","Boxing, in ring, general"
"martial_arts_slow","球类/对抗","武术/格斗（慢速练习）","中高",5.3,186,"15425","Martial Arts, different types, slower pace, novice performers, practice"
"martial_arts_moderate","球类/对抗","武术/格斗（中等）","很高",10.3,361,"15430","Martial Arts, different types, moderate pace"
"kickboxing","球类/对抗","踢拳","高",7.3,256,"15457","Kickboxing"
"judo","球类/对抗","柔道","很高",11.3,396,"15433","Judo"
"fencing","球类/对抗","击剑","中高",6.0,210,"15200","Fencing, general"
"climbing_general","户外/滑行","攀岩/登山","高",8.0,280,"15533","Rock or mountain climbing"
"climbing_low_moderate","户外/滑行","攀岩（低到中等难度）","中高",5.8,203,"15537","Rock climbing, ascending or traversing rock, low-to-moderate difficulty"
"skateboarding","户外/滑行","滑板","中高",5.0,175,"15580","Skateboarding, general, moderate effort"
"longboard_slow","户外/滑行","长板（慢速）","高",6.8,238,"15595","Skateboard, longboard, 13.3 km/h, slow speed"
"roller_skating","户外/滑行","轮滑/旱冰","高",7.0,245,"15590","Skating, roller"
"inline_skating_recreational","户外/滑行","直排轮（休闲）","高",7.5,263,"15591","Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace"
"horseback_riding","户外/滑行","骑马","中高",5.5,193,"15370","Horseback riding, general"
"frisbee_general","户外/滑行","飞盘","轻中",3.0,105,"15240","Frisbee playing, general"
"ultimate_frisbee","户外/滑行","极限飞盘","高",8.0,280,"15250","Frisbee, ultimate"
"kayaking","水上运动","皮划艇","中高",5.0,175,"18100","Kayaking, moderate effort"
"canoeing_pleasure","水上运动","划独木舟（休闲）","中",3.5,123,"18070","Canoeing, rowing, for pleasure, general"
"stand_up_paddleboard","水上运动","桨板","高",6.5,228,"18224","Stand up paddle boarding, general"
"snorkeling","水上运动","浮潜","中高",5.0,175,"18210","Snorkeling"
"surfing_general","水上运动","冲浪","轻中",3.0,105,"18220","Surfing, body or board, general"
"swim_leisure","水上运动","游泳（休闲）","中高",6.0,210,"18310","Swimming, leisurely, not lap swimming, general"
"swim_laps_slow","水上运动","自由泳慢速划水","中高",5.8,203,"18240","Swimming laps, freestyle, slow, recreational"
"swim_laps_fast","水上运动","自由泳快速划水","很高",9.8,343,"18230","Swimming laps, freestyle, fast, vigorous effort"
"swim_breaststroke_recreational","水上运动","蛙泳（休闲）","中高",5.3,186,"18265","Swimming breaststroke, recreational"
"water_aerobics","水上运动","水中有氧","中高",5.5,193,"18355","Water aerobics, water calisthenics, general"
"water_aerobics_high","水上运动","水中有氧（高强度）","高",7.5,263,"18358","Water aerobics, high intensity"
"water_jogging","水上运动","水中慢跑","很高",9.8,343,"18366","Water jogging, vigorous effort"
"water_polo","水上运动","水球","很高",10.0,350,"18360","Water polo"
"water_skiing","水上运动","滑水/尾波滑板","中高",6.0,210,"18150","Skiing, water or wake boarding"
"ice_skating_slow","冬季运动","滑冰（≤14.5km/h）","中高",5.5,193,"19020","Skating, ice, 9 mph or less"
"ice_skating_general","冬季运动","滑冰","高",7.0,245,"19030","Skating, ice, general"
"skiing_general","冬季运动","滑雪","高",7.0,245,"19075","Skiing, general"
"cross_country_skiing","冬季运动","越野滑雪（中等）","高",8.5,298,"19090","Skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general"
"downhill_skiing_light","冬季运动","高山滑雪/单板（轻）","中",4.3,151,"19150","Skiing, downhill, alpine or snowboarding, light effort, active time only"
"downhill_skiing_moderate","冬季运动","高山滑雪/单板（中等）","中高",6.3,221,"19160","Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only"
"snowshoeing","冬季运动","雪鞋行走","中高",5.3,186,"19190","Snow shoeing, moderate effort"
"snowboarding_recreational","冬季运动","单板滑雪（休闲）","高",7.5,263,"19201","Snowboarding, recreational, moderate pace, mountain"
"cooking_moderate","日常活动","做饭（中等）","轻中",3.5,123,"05049","Cooking or food preparation, moderate effort"
"laundry_light","日常活动","洗衣/晾衣（轻）","轻",2.3,81,"05090","Laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand, implied standing, light effort"
"floor_scrubbing","日常活动","擦地/刷浴室","中",3.5,123,"05130","Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort"
"moving_furniture","日常活动","搬家具/搬箱子","中高",5.8,203,"05120","Moving furniture, household items, carrying boxes"
"play_with_children_moderate","日常活动","陪孩子玩（走跑，中等）","中",3.5,123,"05175","Walking/running, playing with child(ren), moderate effort, only active periods"
"play_with_children_vigorous","日常活动","陪孩子玩（走跑，高强度）","中高",5.8,203,"05180","Walking/running, playing with child(ren), vigorous effort, only active periods"
"gardening_general","日常活动","园艺","中",3.8,133,"08245","Gardening, general, moderate effort"
"mowing_lawn","日常活动","推式割草","中高",5.5,193,"08095","Mowing lawn, general, walking, moderate effort"
"raking_leaves","日常活动","耙草/耙树叶","中",4.0,140,"08160","Raking lawn or leaves, moderate effort"
"shoveling_snow","日常活动","铲雪（中等）","中高",5.3,186,"08195","Shoveling snow, by hand, moderate effort"
